遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#229,遥测(AI)#229,229,-9772,遥控(DO)#229,2,1,遥调(AO)#229,累计量(CI)#229
遥信(DI)#230,遥测(AI)#230,230,-9771,遥控(DO)#230,2,1,遥调(AO)#230,累计量(CI)#230
遥信(DI)#231,遥测(AI)#231,231,-9770,遥控(DO)#231,2,1,遥调(AO)#231,累计量(CI)#231
遥信(DI)#232,遥测(AI)#232,232,-9769,遥控(DO)#232,2,1,遥调(AO)#232,累计量(CI)#232
遥信(DI)#233,遥测(AI)#233,233,-9768,遥控(DO)#233,2,1,遥调(AO)#233,累计量(CI)#233
遥信(DI)#234,遥测(AI)#234,234,-9767,遥控(DO)#234,2,1,遥调(AO)#234,累计量(CI)#234
遥信(DI)#235,遥测(AI)#235,235,-9766,遥控(DO)#235,2,1,遥调(AO)#235,累计量(CI)#235
遥信(DI)#236,遥测(AI)#236,236,-9765,遥控(DO)#236,2,1,遥调(AO)#236,累计量(CI)#236
遥信(DI)#237,遥测(AI)#237,237,-9764,遥控(DO)#237,2,1,遥调(AO)#237,累计量(CI)#237
遥信(DI)#238,遥测(AI)#238,238,-9763,遥控(DO)#238,2,1,遥调(AO)#238,累计量(CI)#238
遥信(DI)#239,遥测(AI)#239,239,-9762,遥控(DO)#239,2,1,遥调(AO)#239,累计量(CI)#239
遥信(DI)#240,遥测(AI)#240,240,-9761,遥控(DO)#240,2,1,遥调(AO)#240,累计量(CI)#240
遥信(DI)#241,遥测(AI)#241,241,-9760,遥控(DO)#241,2,1,遥调(AO)#241,累计量(CI)#241
遥信(DI)#242,遥测(AI)#242,242,-9759,遥控(DO)#242,2,1,遥调(AO)#242,累计量(CI)#242
遥信(DI)#243,遥测(AI)#243,243,-9758,遥控(DO)#243,2,1,遥调(AO)#243,累计量(CI)#243
遥信(DI)#244,遥测(AI)#244,244,-9757,遥控(DO)#244,2,1,遥调(AO)#244,累计量(CI)#244
遥信(DI)#245,遥测(AI)#245,245,-9756,遥控(DO)#245,2,1,遥调(AO)#245,累计量(CI)#245
遥信(DI)#246,遥测(AI)#246,246,-9755,遥控(DO)#246,2,1,遥调(AO)#246,累计量(CI)#246
遥信(DI)#247,遥测(AI)#247,247,-9754,遥控(DO)#247,2,1,遥调(AO)#247,累计量(CI)#247
遥信(DI)#248,遥测(AI)#248,248,-9753,遥控(DO)#248,2,1,遥调(AO)#248,累计量(CI)#248
遥信(DI)#249,遥测(AI)#249,249,-9752,遥控(DO)#249,2,1,遥调(AO)#249,累计量(CI)#249
遥信(DI)#250,遥测(AI)#250,250,-9751,遥控(DO)#250,2,1,遥调(AO)#250,累计量(CI)#250
遥信(DI)#251,遥测(AI)#251,251,-9750,遥控(DO)#251,2,1,遥调(AO)#251,累计量(CI)#251
遥信(DI)#252,遥测(AI)#252,252,-9749,遥控(DO)#252,2,1,遥调(AO)#252,累计量(CI)#252
遥信(DI)#253,遥测(AI)#253,253,-9748,遥控(DO)#253,2,1,遥调(AO)#253,累计量(CI)#253
遥信(DI)#254,遥测(AI)#254,254,-9747,遥控(DO)#254,2,1,遥调(AO)#254,累计量(CI)#254
遥信(DI)#255,遥测(AI)#255,255,-9746,遥控(DO)#255,2,1,遥调(AO)#255,累计量(CI)#255
遥信(DI)#256,遥测(AI)#256,256,-9745,遥控(DO)#256,2,1,遥调(AO)#256,累计量(CI)#256
遥信(DI)#257,遥测(AI)#257,257,-9744,遥控(DO)#257,2,1,遥调(AO)#257,累计量(CI)#257
遥信(DI)#258,遥测(AI)#258,258,-9743,遥控(DO)#258,2,1,遥调(AO)#258,累计量(CI)#258
遥信(DI)#259,遥测(AI)#259,259,-9742,遥控(DO)#259,2,1,遥调(AO)#259,累计量(CI)#259
遥信(DI)#260,遥测(AI)#260,260,-9741,遥控(DO)#260,2,1,遥调(AO)#260,累计量(CI)#260
遥信(DI)#261,遥测(AI)#261,261,-9740,遥控(DO)#261,2,1,遥调(AO)#261,累计量(CI)#261
遥信(DI)#262,遥测(AI)#262,262,-9739,遥控(DO)#262,2,1,遥调(AO)#262,累计量(CI)#262
遥信(DI)#263,遥测(AI)#263,263,-9738,遥控(DO)#263,2,1,遥调(AO)#263,累计量(CI)#263
遥信(DI)#264,遥测(AI)#264,264,-9737,遥控(DO)#264,2,1,遥调(AO)#264,累计量(CI)#264
遥信(DI)#265,遥测(AI)#265,265,-9736,遥控(DO)#265,2,1,遥调(AO)#265,累计量(CI)#265
遥信(DI)#266,遥测(AI)#266,266,-9735,遥控(DO)#266,2,1,遥调(AO)#266,累计量(CI)#266
遥信(DI)#267,遥测(AI)#267w,267,-9734,遥控(DO)#267,2,1,遥调(AO)#267,累计量(CI)#267
遥信(DI)#268,遥测(AI)#268,268,-9733,遥控(DO)#268,2,1,遥调(AO)#268,累计量(CI)#268
遥信(DI)#269,遥测(AI)#269,269,-9732,遥控(DO)#269,2,1,遥调(AO)#269,累计量(CI)#269
遥信(DI)#270,遥测(AI)#270,270,-9731,遥控(DO)#270,2,1,遥调(AO)#270,累计量(CI)#270
遥信(DI)#271,遥测(AI)#271,271,-9730,遥控(DO)#271,2,1,遥调(AO)#271,累计量(CI)#271
遥信(DI)#272,遥测(AI)#272,272,-9729,遥控(DO)#272,2,1,遥调(AO)#272,累计量(CI)#272
遥信(DI)#273,遥测(AI)#273,273,-9728,遥控(DO)#273,2,1,遥调(AO)#273,累计量(CI)#273
遥信(DI)#274,遥测(AI)#274,274,-9727,遥控(DO)#274,2,1,遥调(AO)#274,累计量(CI)#274
遥信(DI)#275,遥测(AI)#275,275,-9726,遥控(DO)#275,2,1,遥调(AO)#275,累计量(CI)#275
遥信(DI)#276,遥测(AI)#276,276,-9725,遥控(DO)#276,2,1,遥调(AO)#276,累计量(CI)#276
遥信(DI)#277,遥测(AI)#277,277,-9724,遥控(DO)#277,2,1,遥调(AO)#277,累计量(CI)#277
遥信(DI)#278,遥测(AI)#278,278,-9723,遥控(DO)#278,2,1,遥调(AO)#278,累计量(CI)#278
遥信(DI)#279,遥测(AI)#279,279,-9722,遥控(DO)#279,2,1,遥调(AO)#279,累计量(CI)#279
遥信(DI)#280,遥测(AI)#280,280,-9721,遥控(DO)#280,2,1,遥调(AO)#280,累计量(CI)#280
遥信(DI)#281,遥测(AI)#281,281,-9720,遥控(DO)#281,2,1,遥调(AO)#281,累计量(CI)#281
遥信(DI)#282,遥测(AI)#282,282,-9719,遥控(DO)#282,2,1,遥调(AO)#282,累计量(CI)#282
遥信(DI)#283,遥测(AI)#283,283,-9718,遥控(DO)#283,2,1,遥调(AO)#283,累计量(CI)#283
遥信(DI)#284,遥测(AI)#284,284,-9717,遥控(DO)#284,2,1,遥调(AO)#284,累计量(CI)#284
遥信(DI)#285,遥测(AI)#285,285,-9716,遥控(DO)#285,2,1,遥调(AO)#285,累计量(CI)#285
遥信(DI)#286,遥测(AI)#286,286,-9715,遥控(DO)#286,2,1,遥调(AO)#286,累计量(CI)#286
遥信(DI)#287,遥测(AI)#287,287,-9714,遥控(DO)#287,2,1,遥调(AO)#287,累计量(CI)#287
遥信(DI)#288,遥测(AI)#288,288,-9713,遥控(DO)#288,2,1,遥调(AO)#288,累计量(CI)#288
遥信(DI)#289,遥测(AI)#289,289,-9712,遥控(DO)#289,2,1,遥调(AO)#289,累计量(CI)#289
遥信(DI)#290,遥测(AI)#290,290,-9711,遥控(DO)#290,2,1,遥调(AO)#290,累计量(CI)#290
遥信(DI)#291,遥测(AI)#291,291,-9710,遥控(DO)#291,2,1,遥调(AO)#291,累计量(CI)#291
遥信(DI)#292,遥测(AI)#292,292,-9709,遥控(DO)#292,2,1,遥调(AO)#292,累计量(CI)#292
遥信(DI)#293,遥测(AI)#293,293,-9708,遥控(DO)#293,2,1,遥调(AO)#293,累计量(CI)#293
遥信(DI)#294,遥测(AI)#294,294,-9707,遥控(DO)#294,2,1,遥调(AO)#294,累计量(CI)#294
遥信(DI)#295,遥测(AI)#295,295,-9706,遥控(DO)#295,2,1,遥调(AO)#295,累计量(CI)#295
遥信(DI)#296,遥测(AI)#296,296,-9705,遥控(DO)#296,2,1,遥调(AO)#296,累计量(CI)#296
遥信(DI)#297,遥测(AI)#297,297,-9704,遥控(DO)#297,2,1,遥调(AO)#297,累计量(CI)#297
遥信(DI)#298,遥测(AI)#298,298,-9703,遥控(DO)#298,2,1,遥调(AO)#298,累计量(CI)#298
遥信(DI)#299,遥测(AI)#299,299,-9702,遥控(DO)#299,2,1,遥调(AO)#299,累计量(CI)#299
遥信(DI)#300,遥测(AI)#300,300,-9701,遥控(DO)#300,2,1,遥调(AO)#300,累计量(CI)#300
遥信(DI)#301,遥测(AI)#301,301,-9700,遥控(DO)#301,2,1,遥调(AO)#301,累计量(CI)#301
遥信(DI)#302,遥测(AI)#302,302,-9699,遥控(DO)#302,2,1,遥调(AO)#302,累计量(CI)#302
遥信(DI)#303,遥测(AI)#303,303,-9698,遥控(DO)#303,2,1,遥调(AO)#303,累计量(CI)#303
遥信(DI)#304,遥测(AI)#304,304,-9697,遥控(DO)#304,2,1,遥调(AO)#304,累计量(CI)#304
遥信(DI)#305,遥测(AI)#305,305,-9696,遥控(DO)#305,2,1,遥调(AO)#305,累计量(CI)#305
遥信(DI)#306,遥测(AI)#306,306,-9695,遥控(DO)#306,2,1,遥调(AO)#306,累计量(CI)#306
遥信(DI)#307,遥测(AI)#307,307,-9694,遥控(DO)#307,2,1,遥调(AO)#307,累计量(CI)#307
遥信(DI)#308,遥测(AI)#308,308,-9693,遥控(DO)#308,2,1,遥调(AO)#308,累计量(CI)#308
遥信(DI)#309,遥测(AI)#309,309,-9692,遥控(DO)#309,2,1,遥调(AO)#309,累计量(CI)#309
遥信(DI)#310,遥测(AI)#310,310,-9691,遥控(DO)#310,2,1,遥调(AO)#310,累计量(CI)#310
遥信(DI)#311,遥测(AI)#311,311,-9690,遥控(DO)#311,2,1,遥调(AO)#311,累计量(CI)#311
遥信(DI)#312,遥测(AI)#312,312,-9689,遥控(DO)#312,2,1,遥调(AO)#312,累计量(CI)#312
遥信(DI)#313,遥测(AI)#313,313,-9688,遥控(DO)#313,2,1,遥调(AO)#313,累计量(CI)#313
遥信(DI)#314,遥测(AI)#314,314,-9687,遥控(DO)#314,2,1,遥调(AO)#314,累计量(CI)#314
遥信(DI)#315,遥测(AI)#315,315,-9686,遥控(DO)#315,2,1,遥调(AO)#315,累计量(CI)#315
遥信(DI)#316,遥测(AI)#316,316,-9685,遥控(DO)#316,2,1,遥调(AO)#316,累计量(CI)#316
遥信(DI)#317,遥测(AI)#317,317,-9684,遥控(DO)#317,2,1,遥调(AO)#317,累计量(CI)#317
遥信(DI)#318,遥测(AI)#318,318,-9683,遥控(DO)#318,2,1,遥调(AO)#318,累计量(CI)#318
遥信(DI)#319,遥测(AI)#319,319,-9682,遥控(DO)#319,2,1,遥调(AO)#319,累计量(CI)#319
遥信(DI)#320,遥测(AI)#320,320,-9681,遥控(DO)#320,2,1,遥调(AO)#320,累计量(CI)#320
遥信(DI)#321,遥测(AI)#321,321,-9680,遥控(DO)#321,2,1,遥调(AO)#321,累计量(CI)#321
遥信(DI)#322,遥测(AI)#322,322,-9679,遥控(DO)#322,2,1,遥调(AO)#322,累计量(CI)#322
遥信(DI)#323,遥测(AI)#323,323,-9678,遥控(DO)#323,2,1,遥调(AO)#323,累计量(CI)#323
遥信(DI)#324,遥测(AI)#324,324,-9677,遥控(DO)#324,2,1,遥调(AO)#324,累计量(CI)#324
遥信(DI)#325,遥测(AI)#325,325,-9676,遥控(DO)#325,2,1,遥调(AO)#325,累计量(CI)#325
遥信(DI)#326,遥测(AI)#326,326,-9675,遥控(DO)#326,2,1,遥调(AO)#326,累计量(CI)#326
遥信(DI)#327,遥测(AI)#327,327,-9674,遥控(DO)#327,2,1,遥调(AO)#327,累计量(CI)#327
遥信(DI)#328,遥测(AI)#328,328,-9673,遥控(DO)#328,2,1,遥调(AO)#328,累计量(CI)#328
遥信(DI)#329,遥测(AI)#329,329,-9672,遥控(DO)#329,2,1,遥调(AO)#329,累计量(CI)#329
遥信(DI)#330,遥测(AI)#330,330,-9671,遥控(DO)#330,2,1,遥调(AO)#330,累计量(CI)#330
遥信(DI)#331,遥测(AI)#331,331,-9670,遥控(DO)#331,2,1,遥调(AO)#331,累计量(CI)#331
遥信(DI)#332,遥测(AI)#332,332,-9669,遥控(DO)#332,2,1,遥调(AO)#332,累计量(CI)#332
遥信(DI)#333,遥测(AI)#333,333,-9668,遥控(DO)#333,2,1,遥调(AO)#333,累计量(CI)#333
遥信(DI)#334,遥测(AI)#334,334,-9667,遥控(DO)#334,2,1,遥调(AO)#334,累计量(CI)#334
遥信(DI)#335,遥测(AI)#335,335,-9666,遥控(DO)#335,2,1,遥调(AO)#335,累计量(CI)#335
遥信(DI)#336,遥测(AI)#336,336,-9665,遥控(DO)#336,2,1,遥调(AO)#336,累计量(CI)#336
遥信(DI)#337,遥测(AI)#337,337,-9664,遥控(DO)#337,2,1,遥调(AO)#337,累计量(CI)#337
遥信(DI)#338,遥测(AI)#338,338,-9663,遥控(DO)#338,2,1,遥调(AO)#338,累计量(CI)#338
遥信(DI)#339,遥测(AI)#339,339,-9662,遥控(DO)#339,2,1,遥调(AO)#339,累计量(CI)#339
遥信(DI)#340,遥测(AI)#340,340,-9661,遥控(DO)#340,2,1,遥调(AO)#340,累计量(CI)#340
遥信(DI)#341,遥测(AI)#341,341,-9660,遥控(DO)#341,2,1,遥调(AO)#341,累计量(CI)#341
遥信(DI)#342,遥测(AI)#342,342,-9659,遥控(DO)#342,2,1,遥调(AO)#342,累计量(CI)#342
遥信(DI)#343,遥测(AI)#343,343,-9658,遥控(DO)#343,2,1,遥调(AO)#343,累计量(CI)#343
遥信(DI)#344,遥测(AI)#344,344,-9657,遥控(DO)#344,2,1,遥调(AO)#344,累计量(CI)#344
遥信(DI)#345,遥测(AI)#345,345,-9656,遥控(DO)#345,2,1,遥调(AO)#345,累计量(CI)#345
遥信(DI)#346,遥测(AI)#346,346,-9655,遥控(DO)#346,2,1,遥调(AO)#346,累计量(CI)#346
遥信(DI)#347,遥测(AI)#347,347,-9654,遥控(DO)#347,2,1,遥调(AO)#347,累计量(CI)#347
遥信(DI)#348,遥测(AI)#348,348,-9653,遥控(DO)#348,2,1,遥调(AO)#348,累计量(CI)#348
遥信(DI)#349,遥测(AI)#349,349,-9652,遥控(DO)#349,2,1,遥调(AO)#349,累计量(CI)#349
遥信(DI)#350,遥测(AI)#350,350,-9651,遥控(DO)#350,2,1,遥调(AO)#350,累计量(CI)#350
遥信(DI)#351,遥测(AI)#351,351,-9650,遥控(DO)#351,2,1,遥调(AO)#351,累计量(CI)#351
遥信(DI)#352,遥测(AI)#352,352,-9649,遥控(DO)#352,2,1,遥调(AO)#352,累计量(CI)#352
遥信(DI)#353,遥测(AI)#353,353,-9648,遥控(DO)#353,2,1,遥调(AO)#353,累计量(CI)#353
遥信(DI)#354,遥测(AI)#354,354,-9647,遥控(DO)#354,2,1,遥调(AO)#354,累计量(CI)#354
遥信(DI)#355,遥测(AI)#355,355,-9646,遥控(DO)#355,2,1,遥调(AO)#355,累计量(CI)#355
遥信(DI)#356,遥测(AI)#356,356,-9645,遥控(DO)#356,2,1,遥调(AO)#356,累计量(CI)#356
遥信(DI)#357,遥测(AI)#357,357,-9644,遥控(DO)#357,2,1,遥调(AO)#357,累计量(CI)#357
遥信(DI)#358,遥测(AI)#358,358,-9643,遥控(DO)#358,2,1,遥调(AO)#358,累计量(CI)#358
遥信(DI)#359,遥测(AI)#359,359,-9642,遥控(DO)#359,2,1,遥调(AO)#359,累计量(CI)#359
遥信(DI)#360,遥测(AI)#360,360,-9641,遥控(DO)#360,2,1,遥调(AO)#360,累计量(CI)#360
遥信(DI)#361,遥测(AI)#361,361,-9640,遥控(DO)#361,2,1,遥调(AO)#361,累计量(CI)#361
遥信(DI)#362,遥测(AI)#362,362,-9639,遥控(DO)#362,2,1,遥调(AO)#362,累计量(CI)#362
遥信(DI)#363,遥测(AI)#363,363,-9638,遥控(DO)#363,2,1,遥调(AO)#363,累计量(CI)#363
遥信(DI)#364,遥测(AI)#364,364,-9637,遥控(DO)#364,2,1,遥调(AO)#364,累计量(CI)#364
遥信(DI)#365,遥测(AI)#365,365,-9636,遥控(DO)#365,2,1,遥调(AO)#365,累计量(CI)#365
遥信(DI)#366,遥测(AI)#366,366,-9635,遥控(DO)#366,2,1,遥调(AO)#366,累计量(CI)#366
遥信(DI)#367,遥测(AI)#367,367,-9634,遥控(DO)#367,2,1,遥调(AO)#367,累计量(CI)#367
遥信(DI)#368,遥测(AI)#368,368,-9633,遥控(DO)#368,2,1,遥调(AO)#368,累计量(CI)#368
遥信(DI)#369,遥测(AI)#369,369,-9632,遥控(DO)#369,2,1,遥调(AO)#369,累计量(CI)#369
遥信(DI)#370,遥测(AI)#370,370,-9631,遥控(DO)#370,2,1,遥调(AO)#370,累计量(CI)#370
遥信(DI)#371,遥测(AI)#371,371,-9630,遥控(DO)#371,2,1,遥调(AO)#371,累计量(CI)#371
遥信(DI)#372,遥测(AI)#372,372,-9629,遥控(DO)#372,2,1,遥调(AO)#372,累计量(CI)#372
遥信(DI)#373,遥测(AI)#373,373,-9628,遥控(DO)#373,2,1,遥调(AO)#373,累计量(CI)#373
遥信(DI)#374,遥测(AI)#374,374,-9627,遥控(DO)#374,2,1,遥调(AO)#374,累计量(CI)#374
遥信(DI)#375,遥测(AI)#375,375,-9626,遥控(DO)#375,2,1,遥调(AO)#375,累计量(CI)#375
遥信(DI)#376,遥测(AI)#376,376,-9625,遥控(DO)#376,2,1,遥调(AO)#376,累计量(CI)#376
遥信(DI)#377,遥测(AI)#377,377,-9624,遥控(DO)#377,2,1,遥调(AO)#377,累计量(CI)#377
遥信(DI)#378,遥测(AI)#378,378,-9623,遥控(DO)#378,2,1,遥调(AO)#378,累计量(CI)#378
遥信(DI)#379,遥测(AI)#379,379,-9622,遥控(DO)#379,2,1,遥调(AO)#379,累计量(CI)#379
遥信(DI)#380,遥测(AI)#380,380,-9621,遥控(DO)#380,2,1,遥调(AO)#380,累计量(CI)#380
遥信(DI)#381,遥测(AI)#381,381,-9620,遥控(DO)#381,2,1,遥调(AO)#381,累计量(CI)#381
遥信(DI)#382,遥测(AI)#382,382,-9619,遥控(DO)#382,2,1,遥调(AO)#382,累计量(CI)#382
遥信(DI)#383,遥测(AI)#383,383,-9618,遥控(DO)#383,2,1,遥调(AO)#383,累计量(CI)#383
遥信(DI)#384,遥测(AI)#384,384,-9617,遥控(DO)#384,2,1,遥调(AO)#384,累计量(CI)#384
遥信(DI)#385,遥测(AI)#385,385,-9616,遥控(DO)#385,2,1,遥调(AO)#385,累计量(CI)#385
遥信(DI)#386,遥测(AI)#386,386,-9615,遥控(DO)#386,2,1,遥调(AO)#386,累计量(CI)#386
遥信(DI)#387,遥测(AI)#387,387,-9614,遥控(DO)#387,2,1,遥调(AO)#387,累计量(CI)#387
遥信(DI)#388,遥测(AI)#388,388,-9613,遥控(DO)#388,2,1,遥调(AO)#388,累计量(CI)#388
遥信(DI)#389,遥测(AI)#389,389,-9612,遥控(DO)#389,2,1,遥调(AO)#389,累计量(CI)#389
遥信(DI)#390,遥测(AI)#390,390,-9611,遥控(DO)#390,2,1,遥调(AO)#390,累计量(CI)#390
遥信(DI)#391,遥测(AI)#391,391,-9610,遥控(DO)#391,2,1,遥调(AO)#391,累计量(CI)#391
遥信(DI)#392,遥测(AI)#392,392,-9609,遥控(DO)#392,2,1,遥调(AO)#392,累计量(CI)#392
遥信(DI)#393,遥测(AI)#393,393,-9608,遥控(DO)#393,2,1,遥调(AO)#393,累计量(CI)#393
遥信(DI)#394,遥测(AI)#394,394,-9607,遥控(DO)#394,2,1,遥调(AO)#394,累计量(CI)#394
遥信(DI)#395,遥测(AI)#395,395,-9606,遥控(DO)#395,2,1,遥调(AO)#395,累计量(CI)#395
遥信(DI)#396,遥测(AI)#396,396,-9605,遥控(DO)#396,2,1,遥调(AO)#396,累计量(CI)#396
遥信(DI)#397,遥测(AI)#397,397,-9604,遥控(DO)#397,2,1,遥调(AO)#397,累计量(CI)#397
遥信(DI)#398,遥测(AI)#398,398,-9603,遥控(DO)#398,2,1,遥调(AO)#398,累计量(CI)#398
遥信(DI)#399,遥测(AI)#399,399,-9602,遥控(DO)#399,2,1,遥调(AO)#399,累计量(CI)#399
遥信(DI)#400,遥测(AI)#400,400,-9601,遥控(DO)#400,2,1,遥调(AO)#400,累计量(CI)#400
遥信(DI)#401,遥测(AI)#401,401,-9600,遥控(DO)#401,2,1,遥调(AO)#401,累计量(CI)#401
遥信(DI)#402,遥测(AI)#402,402,-9599,遥控(DO)#402,2,1,遥调(AO)#402,累计量(CI)#402
遥信(DI)#403,遥测(AI)#403,403,-9598,遥控(DO)#403,2,1,遥调(AO)#403,累计量(CI)#403
遥信(DI)#404,遥测(AI)#404,404,-9597,遥控(DO)#404,2,1,遥调(AO)#404,累计量(CI)#404
遥信(DI)#405,遥测(AI)#405,405,-9596,遥控(DO)#405,2,1,遥调(AO)#405,累计量(CI)#405
遥信(DI)#406,遥测(AI)#406,406,-9595,遥控(DO)#406,2,1,遥调(AO)#406,累计量(CI)#406
遥信(DI)#407,遥测(AI)#407,407,-9594,遥控(DO)#407,2,1,遥调(AO)#407,累计量(CI)#407
遥信(DI)#408,遥测(AI)#408,408,-9593,遥控(DO)#408,2,1,遥调(AO)#408,累计量(CI)#408
遥信(DI)#409,遥测(AI)#409,409,-9592,遥控(DO)#409,2,1,遥调(AO)#409,累计量(CI)#409
遥信(DI)#410,遥测(AI)#410,410,-9591,遥控(DO)#410,2,1,遥调(AO)#410,累计量(CI)#410
遥信(DI)#411,遥测(AI)#411,411,-9590,遥控(DO)#411,2,1,遥调(AO)#411,累计量(CI)#411
遥信(DI)#412,遥测(AI)#412,412,-9589,遥控(DO)#412,2,1,遥调(AO)#412,累计量(CI)#412
遥信(DI)#413,遥测(AI)#413,413,-9588,遥控(DO)#413,2,1,遥调(AO)#413,累计量(CI)#413
遥信(DI)#414,遥测(AI)#414,414,-9587,遥控(DO)#414,2,1,遥调(AO)#414,累计量(CI)#414
遥信(DI)#415,遥测(AI)#415,415,-9586,遥控(DO)#415,2,1,遥调(AO)#415,累计量(CI)#415
遥信(DI)#416,遥测(AI)#416,416,-9585,遥控(DO)#416,2,1,遥调(AO)#416,累计量(CI)#416
遥信(DI)#417,遥测(AI)#417,417,-9584,遥控(DO)#417,2,1,遥调(AO)#417,累计量(CI)#417
遥信(DI)#418,遥测(AI)#418,418,-9583,遥控(DO)#418,2,1,遥调(AO)#418,累计量(CI)#418
遥信(DI)#419,遥测(AI)#419,419,-9582,遥控(DO)#419,2,1,遥调(AO)#419,累计量(CI)#419
遥信(DI)#420,遥测(AI)#420,420,-9581,遥控(DO)#420,2,1,遥调(AO)#420,累计量(CI)#420
遥信(DI)#421,遥测(AI)#421,421,-9580,遥控(DO)#421,2,1,遥调(AO)#421,累计量(CI)#421
遥信(DI)#422,遥测(AI)#422,422,-9579,遥控(DO)#422,2,1,遥调(AO)#422,累计量(CI)#422
遥信(DI)#423,遥测(AI)#423,423,-9578,遥控(DO)#423,2,1,遥调(AO)#423,累计量(CI)#423
遥信(DI)#424,遥测(AI)#424,424,-9577,遥控(DO)#424,2,1,遥调(AO)#424,累计量(CI)#424
遥信(DI)#425,遥测(AI)#425,425,-9576,遥控(DO)#425,2,1,遥调(AO)#425,累计量(CI)#425
遥信(DI)#426,遥测(AI)#426,426,-9575,遥控(DO)#426,2,1,遥调(AO)#426,累计量(CI)#426
遥信(DI)#427,遥测(AI)#427,427,-9574,遥控(DO)#427,2,1,遥调(AO)#427,累计量(CI)#427
遥信(DI)#428,遥测(AI)#428,428,-9573,遥控(DO)#428,2,1,遥调(AO)#428,累计量(CI)#428
遥信(DI)#429,遥测(AI)#429,429,-9572,遥控(DO)#429,2,1,遥调(AO)#429,累计量(CI)#429
遥信(DI)#430,遥测(AI)#430,430,-9571,遥控(DO)#430,2,1,遥调(AO)#430,累计量(CI)#430
遥信(DI)#431,遥测(AI)#431,431,-9570,遥控(DO)#431,2,1,遥调(AO)#431,累计量(CI)#431
遥信(DI)#432,遥测(AI)#432,432,-9569,遥控(DO)#432,2,1,遥调(AO)#432,累计量(CI)#432
遥信(DI)#433,遥测(AI)#433,433,-9568,遥控(DO)#433,2,1,遥调(AO)#433,累计量(CI)#433
遥信(DI)#434,遥测(AI)#434,434,-9567,遥控(DO)#434,2,1,遥调(AO)#434,累计量(CI)#434
遥信(DI)#435,遥测(AI)#435,435,-9566,遥控(DO)#435,2,1,遥调(AO)#435,累计量(CI)#435
遥信(DI)#436,遥测(AI)#436,436,-9565,遥控(DO)#436,2,1,遥调(AO)#436,累计量(CI)#436
遥信(DI)#437,遥测(AI)#437,437,-9564,遥控(DO)#437,2,1,遥调(AO)#437,累计量(CI)#437
遥信(DI)#438,遥测(AI)#438,438,-9563,遥控(DO)#438,2,1,遥调(AO)#438,累计量(CI)#438
遥信(DI)#439,遥测(AI)#439,439,-9562,遥控(DO)#439,2,1,遥调(AO)#439,累计量(CI)#439
遥信(DI)#440,遥测(AI)#440,440,-9561,遥控(DO)#440,2,1,遥调(AO)#440,累计量(CI)#440
遥信(DI)#441,遥测(AI)#441,441,-9560,遥控(DO)#441,2,1,遥调(AO)#441,累计量(CI)#441
遥信(DI)#442,遥测(AI)#442,442,-9559,遥控(DO)#442,2,1,遥调(AO)#442,累计量(CI)#442
遥信(DI)#443,遥测(AI)#443,443,-9558,遥控(DO)#443,2,1,遥调(AO)#443,累计量(CI)#443
遥信(DI)#444,遥测(AI)#444,444,-9557,遥控(DO)#444,2,1,遥调(AO)#444,累计量(CI)#444
遥信(DI)#445,遥测(AI)#445,445,-9556,遥控(DO)#445,2,1,遥调(AO)#445,累计量(CI)#445
遥信(DI)#446,遥测(AI)#446,446,-9555,遥控(DO)#446,2,1,遥调(AO)#446,累计量(CI)#446
遥信(DI)#447,遥测(AI)#447,447,-9554,遥控(DO)#447,2,1,遥调(AO)#447,累计量(CI)#447
遥信(DI)#448,遥测(AI)#448,448,-9553,遥控(DO)#448,2,1,遥调(AO)#448,累计量(CI)#448
遥信(DI)#449,遥测(AI)#449,449,-9552,遥控(DO)#449,2,1,遥调(AO)#449,累计量(CI)#449
遥信(DI)#450,遥测(AI)#450,450,-9551,遥控(DO)#450,2,1,遥调(AO)#450,累计量(CI)#450
遥信(DI)#451,遥测(AI)#451,451,-9550,遥控(DO)#451,2,1,遥调(AO)#451,累计量(CI)#451
遥信(DI)#452,遥测(AI)#452,452,-9549,遥控(DO)#452,2,1,遥调(AO)#452,累计量(CI)#452
遥信(DI)#453,遥测(AI)#453,453,-9548,遥控(DO)#453,2,1,遥调(AO)#453,累计量(CI)#453
遥信(DI)#454,遥测(AI)#454,454,-9547,遥控(DO)#454,2,1,遥调(AO)#454,累计量(CI)#454
遥信(DI)#455,遥测(AI)#455,455,-9546,遥控(DO)#455,2,1,遥调(AO)#455,累计量(CI)#455
遥信(DI)#456,遥测(AI)#456,456,-9545,遥控(DO)#456,2,1,遥调(AO)#456,累计量(CI)#456
遥信(DI)#457,遥测(AI)#457,457,-9544,遥控(DO)#457,2,1,遥调(AO)#457,累计量(CI)#457
遥信(DI)#458,遥测(AI)#458,458,-9543,遥控(DO)#458,2,1,遥调(AO)#458,累计量(CI)#458
遥信(DI)#459,遥测(AI)#459,459,-9542,遥控(DO)#459,2,1,遥调(AO)#459,累计量(CI)#459
